Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Atlanta Hawks*,56-26,East,82,242.4,35.2,77.5,0.455,4.1,12.4,0.332,31.1,65.1,0.478,21.3,28.2,0.756,13.5,29.5,43,19.1,8,6,14.8,20.4,95.9
14,Boston Celtics,15-67,East,82,240.6,36.7,84.6,0.434,5.1,15.2,0.332,31.7,69.3,0.457,17.4,24,0.726,14.6,24.9,39.5,22.1,12,4.5,16.2,26.9,95.9
11,Charlotte Hornets*,54-28,East,82,241.2,36.2,77.4,0.468,4.2,11,0.383,32,66.3,0.482,20,26.7,0.751,12,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
9,Chicago Bulls*,69-13,East,82,242.1,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7
24,Cleveland Cavaliers*,42-40,East,82,241.8,34.4,75.7,0.454,3.6,9.8,0.372,30.7,65.9,0.466,20.2,26.7,0.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5
26,Dallas Mavericks,24-58,West,82,242.7,35.1,82.4,0.427,5.1,14.4,0.357,30,67.9,0.442,16,21.2,0.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20,91.4
28,Denver Nuggets,21-61,West,82,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39,18.9,8.1,4.8,16,23.6,89
20,Detroit Pistons,54-28,East,82,243.4,34.9,77.7,0.449,3.6,11.4,0.312,31.3,66.3,0.473,20.8,27.9,0.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22,94.2
29,Golden State Warriors,30-52,West,82,241.8,34.7,83.9,0.413,2.3,8.5,0.272,32.4,75.5,0.429,16.6,23.3,0.71,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3
7,Houston Rockets*,57-25,West,82,241.8,35.9,79.4,0.452,7,20.4,0.343,28.9,59.1,0.49,19.9,25.9,0.771,12,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8
12,Indiana Pacers*,39-43,East,82,241.8,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26,0.764,10.7,28.6,39.3,23,7.9,4.5,14.2,22.7,96
13,Los Angeles Clippers,36-46,West,82,241.2,35.7,81.6,0.438,6.4,17.9,0.358,29.3,63.7,0.461,18,25,0.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9
1,Los Angeles Lakers*,56-26,West,82,241.8,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9,6.8,15.3,22.7,105.5
16,Miami Heat*,61-21,East,82,240.9,34.8,77.2,0.45,6.7,18.8,0.355,28.1,58.3,0.481,18.8,25.4,0.739,12.5,29.5,42,21.4,8.1,5.2,15,24.2,95
18,Milwaukee Bucks,33-49,East,82,243,35.6,78,0.456,3,8.6,0.354,32.5,69.5,0.469,20.3,26.4,0.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5
2,Minnesota Timberwolves*,40-42,West,82,243,38.5,83.5,0.461,3.7,10.6,0.347,34.8,72.8,0.478,20.4,27.5,0.743,13,29.6,42.6,25.2,7.8,5.2,13.9,23,101.1
5,New Jersey Nets*,26-56,East,82,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.458,21.3,28.7,0.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
25,New York Knicks*,57-25,East,82,241.8,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6
27,Orlando Magic,45-37,East,82,241.8,33.8,78.7,0.429,3.6,11.1,0.323,30.2,67.7,0.447,18.9,26.1,0.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1
21,Philadelphia 76ers,22-60,East,82,240.9,34.6,78.2,0.443,3,9.9,0.3,31.6,68.3,0.463,21.1,28.7,0.737,13.7,28,41.7,21.1,8.9,6,16.5,22.9,93.3
6,Phoenix Suns*,40-42,West,82,243.4,38.3,81.8,0.468,5.3,14.8,0.356,33,67.1,0.492,17.8,23.8,0.749,12.1,29.9,42,25.9,9.2,5.2,15.1,21.5,99.6
19,Portland Trail Blazers*,49-33,West,82,241.8,35.2,78,0.451,4,12.8,0.309,31.2,65.2,0.479,20,27.1,0.737,13.2,30.8,44,21.5,7.1,5.7,16.9,22.7,94.3
22,Sacramento Kings,34-48,West,82,240.6,36.1,81.5,0.442,3.5,9.8,0.351,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
23,San Antonio Spurs*,20-62,West,82,241.8,35.3,75.5,0.468,3.7,10.5,0.35,31.7,64.9,0.488,18.2,26.4,0.688,12,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5
4,Seattle SuperSonics*,57-25,West,82,240.9,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.497,18.5,25.7,0.721,11.4,27.1,38.5,24.2,9.8,4.6,14,22.1,100.6
17,Toronto Raptors,30-52,East,82,243,36.2,83.1,0.435,4.5,13.2,0.343,31.6,69.8,0.453,18,25.1,0.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9
3,Utah Jazz*,64-18,West,82,241.2,36.5,74.5,0.49,3,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5,15.4,23.9,101
10,Vancouver Grizzlies,14-68,West,82,241.8,36.7,80.1,0.458,4,11,0.362,32.7,69.1,0.473,19.3,26.2,0.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6
8,Washington Wizards,44-38,East,82,241.5,37.6,83.1,0.452,3.9,11.5,0.339,33.7,71.5,0.47,18.2,26.3,0.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2
28,a,21-61,East,82,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39,18.9,8.1,4.8,16,23.6,89
13,b,36-46,West,82,241.2,35.7,81.6,0.438,6.4,17.9,0.358,29.3,63.7,0.461,18,25,0.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9
2,c,40-42,East,82,243,38.5,83.5,0.461,3.7,10.6,0.347,34.8,72.8,0.478,20.4,27.5,0.743,13,29.6,42.6,25.2,7.8,5.2,13.9,23,101.1
