Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Atlanta Hawks,28-54,East,82,242.7,34.5,79.6,0.433,5.1,15.2,0.335,29.4,64.4,0.456,18.7,24.1,0.776,12.1,30.6,42.7,20.1,7.6,5,16.5,22.3,92.8
8,Boston Celtics*,36-46,East,82,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4,16.2,22.4,95.3
26,Chicago Bulls,23-59,East,82,241.8,34.1,82.4,0.414,5.2,15.3,0.342,28.9,67,0.431,16.2,22.4,0.725,12.8,30.7,43.5,21.9,8,4.8,16.1,23.3,89.7
14,Cleveland Cavaliers,35-47,East,82,242.1,35.6,82.4,0.433,3,9.6,0.314,32.6,72.8,0.448,18.6,24.8,0.753,13.6,31.9,45.6,22,7.1,6.5,14.8,21.3,92.9
1,Dallas Mavericks*,52-30,West,82,241.5,40.5,88.2,0.459,6.2,17.8,0.348,34.3,70.4,0.488,18,22.6,0.796,14.3,31,45.3,23.9,8,5.3,12.2,19.6,105.2
5,Denver Nuggets*,43-39,West,82,240.6,36.5,82.5,0.443,4,12,0.336,32.5,70.5,0.461,20.2,26.3,0.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22,97.2
24,Detroit Pistons*,54-28,East,82,241.2,33.5,77,0.435,4.1,11.8,0.344,29.4,65.2,0.452,19,25.3,0.753,12.4,30.4,42.8,20.8,8,7,15.1,20.3,90.1
13,Golden State Warriors,37-45,West,82,242.1,35.1,79.4,0.442,5.2,15.6,0.334,29.8,63.8,0.468,17.9,24.7,0.725,12.2,30.9,43.1,20.5,7,4.7,14.8,20.6,93.3
25,Houston Rockets*,45-37,West,82,243,33.4,75.5,0.442,6.3,17.1,0.366,27.1,58.4,0.464,16.7,21.6,0.773,10.3,32.3,42.6,19.3,6.8,5.4,16.7,21.5,89.8
20,Indiana Pacers*,61-21,East,82,241.5,33.6,77.1,0.435,5.5,15.6,0.351,28.1,61.5,0.457,18.8,24.6,0.764,11.8,29.9,41.7,21.6,8.9,5,14.4,20.8,91.4
9,Los Angeles Clippers,28-54,West,82,241.5,34.4,80.2,0.428,4,12.5,0.321,30.3,67.7,0.448,22,28.1,0.785,14,29.5,43.5,20.2,7.2,4.6,16.4,22.1,94.8
3,Los Angeles Lakers*,56-26,West,82,242.1,36.9,81.4,0.454,4.5,13.6,0.327,32.5,67.8,0.479,19.9,28.7,0.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2
7,Memphis Grizzlies*,50-32,East,82,242.4,36.1,81.2,0.445,5.5,16,0.34,30.7,65.2,0.471,19,26.1,0.727,12.8,29,41.8,23.4,9.7,6.9,15,23.2,96.7
22,Miami Heat*,42-40,East,82,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,11.5,30,41.5,19.1,7.2,3.8,13.9,22.1,90.3
4,Milwaukee Bucks*,41-41,East,82,241.2,36.2,81.1,0.447,4.9,14,0.35,31.3,67.1,0.467,20.7,26.7,0.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98
10,Minnesota Timberwolves*,58-24,West,82,240.9,37,80.1,0.462,4,10.9,0.363,33,69.2,0.477,16.6,21.3,0.781,10.7,32.3,42.9,23,6.8,5.6,12.7,21.1,94.5
23,New Jersey Nets*,47-35,East,82,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64,0.464,17,22.6,0.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21,90.3
17,New Orleans Hornets*,41-41,West,82,241.8,33.8,80.5,0.42,6.5,20.3,0.319,27.3,60.2,0.454,17.7,23.6,0.751,13.3,29.5,42.8,20.9,8.6,4.2,15,20.9,91.8
16,New York Knicks*,39-43,East,82,242.4,35.1,79.4,0.442,5,13.6,0.364,30.2,65.8,0.459,16.8,21.1,0.793,11.6,31,42.6,20.7,7.4,4.8,15.7,23.1,92
12,Orlando Magic,21-61,East,82,241.8,35.4,82.5,0.429,5.2,15.2,0.344,30.2,67.3,0.448,18,24.4,0.737,12.2,28.7,40.9,19.3,6.7,3.8,13.7,21.3,94
28,Philadelphia 76ers,33-49,East,82,242.1,32.7,76.3,0.428,4.1,12.1,0.342,28.6,64.2,0.445,18.4,24.5,0.753,11.5,29.4,40.8,20,8,4.4,15.9,20.7,88
11,Phoenix Suns,29-53,West,82,240.6,36.1,81.4,0.443,5.1,14.7,0.345,31,66.7,0.465,17,22.7,0.746,11.3,29.3,40.6,19.3,9,4.7,15.2,22.7,94.2
21,Portland Trail Blazers,41-41,West,82,243.7,35.3,78.9,0.448,4.6,13.4,0.346,30.7,65.4,0.469,15.4,21.1,0.731,12.7,29,41.7,21.6,7.5,5.4,14.8,19,90.7
2,Sacramento Kings*,55-27,West,82,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,10.8,30.4,41.2,26.2,8.7,4,13.9,19.3,102.8
19,San Antonio Spurs*,57-25,West,82,240.9,34.7,78.5,0.442,5,13.9,0.358,29.7,64.6,0.46,17.2,25.2,0.681,12.5,32.5,45.1,20.4,8.1,6.5,14.7,20.3,91.5
6,Seattle SuperSonics,37-45,West,82,241.5,35.8,80.4,0.446,8.8,23.6,0.373,27,56.8,0.476,16.6,21.7,0.765,11.1,28.3,39.3,21.7,8.1,4.7,14.5,21.8,97.1
29,Toronto Raptors,33-49,East,82,243.7,32.4,77.4,0.418,5.6,15.8,0.356,26.7,61.6,0.434,15.1,20.1,0.75,10.1,29.5,39.6,19.2,7.4,4.9,14.2,21.3,85.4
27,Utah Jazz,42-40,West,82,241.2,32.8,75.3,0.436,3.1,9.6,0.321,29.7,65.7,0.453,20,26.8,0.746,13.5,27.7,41.2,20.4,7.1,6,16.6,25.6,88.7
18,Washington Wizards,25-57,East,82,241.8,33.6,80,0.421,5.3,15.5,0.341,28.4,64.5,0.44,19.3,27,0.714,13.6,29.2,42.8,18.7,8.9,5,17.5,20.9,91.8
11,a,29-53,West,82,240.6,36.1,81.4,0.443,5.1,14.7,0.345,31,66.7,0.465,17,22.7,0.746,11.3,29.3,40.6,19.3,9,4.7,15.2,22.7,94.2
