Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17,Atlanta Hawks*,50-32,East,82,241.5,42,85.7,0.49,0.4,2,0.199,41.6,83.7,0.497,24.1,33,0.732,15.2,29.3,44.6,24.7,9,5.3,18.1,26.5,108.6
8,Boston Celtics*,67-15,East,82,242.1,45.3,89.2,0.508,1.7,4.8,0.351,43.7,84.4,0.517,21.8,27.4,0.794,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1
13,Chicago Bulls*,30-52,East,82,242.1,42.4,88.1,0.481,1.1,3.9,0.278,41.3,84.3,0.49,23.4,30.5,0.769,15.6,27.8,43.4,24.5,7.4,4.9,17.5,26.4,109.3
19,Cleveland Cavaliers,29-53,East,82,241.2,42.4,88.3,0.48,1.6,4.8,0.338,40.8,83.5,0.489,21.3,28.4,0.752,13.2,29.9,43.2,25.2,7.6,5.3,17.2,27.6,107.8
2,Dallas Mavericks*,44-38,West,82,241.5,44.3,88.5,0.501,1.7,5.4,0.316,42.6,83,0.513,25,32.2,0.776,12.9,29.9,42.8,25.7,7.4,4.5,15.7,21.1,115.3
4,Denver Nuggets*,47-35,West,82,240.9,45.2,96,0.471,0.9,3.7,0.233,44.3,92.2,0.48,23.5,29.5,0.798,14.9,28.3,43.2,26.1,10.1,5.1,16.3,26.4,114.8
7,Detroit Pistons*,46-36,East,82,241.2,45.8,94.5,0.484,0.7,2.2,0.302,45.1,92.3,0.489,22,28,0.783,15.6,30,45.6,28.3,9,4.1,16.4,25.6,114.2
9,Golden State Warriors,30-52,West,82,241.2,44.5,92.3,0.482,1.1,3.4,0.313,43.5,88.9,0.489,23.3,30.7,0.76,15.5,28.6,44.1,24.6,9.2,4.3,17.1,24.8,113.4
6,Houston Rockets*,51-31,West,82,240.9,45.8,93.5,0.49,1,3.8,0.274,44.8,89.8,0.499,21.7,29.7,0.73,16,29.7,45.7,28.3,9.1,6.7,16.8,24.3,114.4
21,Indiana Pacers,26-56,East,82,240.9,42,87.2,0.481,0.3,1.7,0.161,41.7,85.5,0.488,19.7,26.6,0.739,13.9,31.9,45.7,26.3,8,4.6,18.5,26,103.9
16,Los Angeles Clippers,32-50,West,82,240.9,41.3,87.4,0.473,0.8,2.8,0.279,40.5,84.6,0.479,25.2,32.7,0.77,14.1,27.5,41.7,24,8.5,6.1,18.4,23.5,108.6
1,Los Angeles Lakers*,62-20,West,82,241.8,46.8,89.5,0.522,1.7,5,0.337,45.1,84.6,0.533,22.1,28.4,0.778,13.4,31.2,44.6,29.7,8.5,5.1,17.9,24.8,117.3
5,Milwaukee Bucks*,57-25,East,82,241.5,43.9,89.1,0.493,1.5,4.7,0.327,42.4,84.5,0.502,25.2,32.9,0.764,14.5,29.5,44,26.3,9.8,5.6,16.7,27,114.5
14,New Jersey Nets*,39-43,East,82,241.5,43.3,89,0.486,0.5,2.6,0.201,42.7,86.4,0.495,22.1,29.2,0.755,14.4,30.3,44.7,26,9.1,4.2,19.2,26,109.1
23,New York Knicks,23-59,East,82,241.5,39.5,85.8,0.46,1,2.9,0.343,38.5,82.9,0.465,18.7,27.3,0.686,13.2,26.5,39.6,22.9,8.7,3.8,17.5,27,98.7
11,Philadelphia 76ers*,54-28,East,82,242.7,41.9,86.1,0.487,0.6,2.7,0.228,41.3,83.3,0.495,26,34.3,0.758,16.2,29,45.2,24.6,10.5,6,19.5,21.9,110.4
12,Phoenix Suns,32-50,West,82,241.5,42.9,85.3,0.503,0.5,2.2,0.208,42.4,83,0.511,23.8,32.7,0.726,12.6,29.9,42.5,27.7,9.4,4.6,21.5,27.6,110
3,Portland Trail Blazers*,40-42,West,82,242.1,44,88.8,0.496,0.9,3.4,0.269,43.1,85.4,0.505,26.1,34.1,0.765,14.1,28.2,42.3,26.6,10.5,4.3,18.6,26.9,115.1
15,Sacramento Kings*,37-45,West,82,241.2,43.1,88,0.49,0.4,1.6,0.224,42.8,86.4,0.495,22.2,28.5,0.778,13.8,29,42.8,28.1,7.3,4.7,18.7,26,108.8
