Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Atlanta Hawks,41-41,East,82,240.6,41.7,85.6,0.487,1.5,5,0.302,40.2,80.6,0.498,23.7,31,0.764,15.5,26.7,42.2,22.2,8.7,4.3,15.5,22.8,108.5
8,Boston Celtics*,52-30,East,82,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.832,13,33,46,29.5,6.6,5.5,15.3,20.9,110
25,Charlotte Hornets,19-63,East,82,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24,0.756,11.7,27,38.7,25.4,9.5,3.2,15,23,100.4
9,Chicago Bulls*,55-27,East,82,241.8,43.1,86.5,0.498,3,8.2,0.374,40,78.3,0.511,20.3,26.1,0.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5
21,Cleveland Cavaliers*,42-40,East,82,242.4,39.2,85.1,0.461,4.2,10.4,0.407,35,74.7,0.468,20,26.8,0.744,13.8,29,42.8,25.7,7.9,6.2,15.2,20.3,102.6
22,Dallas Mavericks*,47-35,West,82,242.1,39.6,83.3,0.475,1.9,5.9,0.323,37.7,77.4,0.487,21.2,27.6,0.767,12.7,29.5,42.2,21.7,8.1,4.9,15,21.1,102.2
3,Denver Nuggets*,43-39,West,82,241.5,45.3,97.7,0.464,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,45.1,27.7,9.9,4,13.9,25,114.6
19,Detroit Pistons*,59-23,East,82,241.5,40.6,85.1,0.478,2.2,6.6,0.327,38.5,78.5,0.49,20.9,27.5,0.761,14.5,30,44.4,24.3,6.2,5.1,15,23.9,104.3
1,Golden State Warriors,37-45,West,82,240.3,42.5,87.9,0.484,3,9.1,0.324,39.6,78.8,0.503,28.2,34.9,0.809,11.2,29.1,40.2,24.1,9.2,6,17.3,24.5,116.3
16,Houston Rockets*,41-41,West,82,241.5,42.5,88.4,0.48,1.9,6,0.312,40.6,82.4,0.493,19.9,27.6,0.72,14.8,32.2,47,26.8,9.9,6.7,18.5,23.6,106.7
10,Indiana Pacers*,42-40,East,82,242.4,41.2,83,0.497,3.6,9.4,0.382,37.6,73.6,0.511,23.2,28.5,0.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24,109.3
20,Los Angeles Clippers,30-52,West,82,241.5,40.5,83.6,0.484,0.7,2.8,0.243,39.8,80.8,0.493,22.1,30,0.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8
6,Los Angeles Lakers*,63-19,West,82,242.1,41.9,85.5,0.49,3.8,10.3,0.367,38.1,75.2,0.507,23.2,29.5,0.787,13.4,30,43.4,27.2,8,5.4,15,21.2,110.7
24,Miami Heat,18-64,East,82,240.6,41.3,89.6,0.461,1.1,3.7,0.293,40.2,85.9,0.468,17,24.7,0.687,15.1,28.2,43.4,23.9,9,4.7,19,25.9,100.6
18,Milwaukee Bucks*,44-38,East,82,241.8,41.2,87.1,0.473,2.5,8.2,0.312,38.7,79,0.49,21,27.7,0.758,13.5,27.4,40.9,25,10.1,4,16,25.4,106
27,Minnesota Timberwolves,22-60,West,82,242.1,37.4,83.9,0.446,0.9,3.6,0.248,36.5,80.3,0.455,19.5,26.1,0.747,14.6,25,39.6,22.5,9.6,4.2,14.6,23.2,95.2
26,New Jersey Nets,17-65,East,82,240.3,38.5,90.4,0.426,1.7,6.2,0.277,36.8,84.3,0.437,21.4,28.7,0.746,16.6,28.3,45,18,9.4,5.9,16.6,23.8,100.1
12,New York Knicks*,45-37,East,82,241.8,41.9,86.5,0.484,2.9,8.7,0.332,39,77.8,0.501,21.6,28.6,0.756,14.5,29.6,44.1,26.1,8.7,6,17.2,22.3,108.3
5,Orlando Magic,18-64,East,82,241.5,42.2,91.8,0.459,1.4,4.8,0.295,40.7,87,0.468,25.1,33.2,0.756,15.9,30.1,46,24.3,7.5,3.6,17.2,24.1,110.9
7,Philadelphia 76ers*,53-29,East,82,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2
2,Phoenix Suns*,54-28,West,82,242.1,43.2,87.1,0.496,2.1,6.6,0.324,41.1,80.4,0.511,26.3,33.1,0.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9
4,Portland Trail Blazers*,59-23,West,82,242.4,43.6,92,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25,114.2
23,Sacramento Kings,23-59,West,82,240.9,40.3,86,0.468,2.6,7.9,0.333,37.7,78.1,0.482,18.5,24,0.771,11.6,28.8,40.4,25,6.7,4.8,15.1,22.7,101.7
