Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,Atlanta Hawks*,57-25,East,82,240.6,41.9,87.1,0.481,1.6,5.2,0.318,40.2,81.9,0.491,24.6,32.5,0.759,16.5,30.2,46.7,25.3,8.5,6.2,15.6,26.2,110
6,Boston Celtics*,59-23,East,82,241.5,44.5,86,0.517,2.5,6.9,0.366,41.9,79.1,0.53,21.2,26.3,0.808,11.4,31.5,42.9,29.5,6.8,6.4,15.9,20.9,112.6
20,Chicago Bulls*,40-42,East,82,241.8,41.2,87.3,0.473,1,3.6,0.261,40.3,83.6,0.482,21.4,27.5,0.778,15.2,29.3,44.5,26.1,8.3,5.3,15.3,23.4,104.8
22,Cleveland Cavaliers,31-51,East,82,240.9,40.8,86.9,0.47,1,4.1,0.24,39.9,82.7,0.482,21.7,31.1,0.697,15.3,29.5,44.8,23.3,8.2,6.8,19.7,22.6,104.4
4,Dallas Mavericks*,55-27,West,82,242.4,43.8,89.9,0.487,2.8,8,0.354,41,82,0.5,26.2,33.1,0.791,14.9,30.4,45.3,24.6,8.4,5.2,14.7,22.8,116.7
3,Denver Nuggets*,37-45,West,82,241.2,45.7,97,0.471,1.3,4.8,0.271,44.4,92.2,0.481,24.1,31.3,0.769,15.8,28.9,44.7,28.3,9.2,5.1,14.8,26.6,116.7
8,Detroit Pistons*,52-30,East,82,241.8,43.2,88.3,0.49,0.5,2.1,0.231,42.7,86.2,0.496,24.3,31.7,0.765,15.2,32.3,47.5,24.6,7.8,5.3,17.3,25.3,111.2
7,Golden State Warriors*,42-40,West,82,242.7,43.3,90.4,0.479,1.4,4.4,0.319,41.9,86,0.487,24,30.8,0.78,14.5,28.7,43.2,25.4,8.7,3.9,16.5,26.1,112
16,Houston Rockets*,42-40,West,82,241.2,42.3,88.6,0.477,1.1,4,0.275,41.2,84.6,0.487,21.3,28.7,0.741,14.5,30.3,44.8,27.2,8,6.8,16.9,24.1,106.9
18,Indiana Pacers*,41-41,East,82,243,42.1,89.3,0.472,1.1,3.9,0.297,41,85.5,0.479,20.7,26.5,0.782,13.8,30,43.9,26.5,8.5,3.8,15.6,25.6,106.1
21,Los Angeles Clippers,12-70,West,82,241.2,40.4,89.4,0.452,1,4.2,0.224,39.4,85.2,0.463,22.8,30.7,0.742,15,26.1,41.1,24,9.2,5.3,18.2,24.4,104.5
2,Los Angeles Lakers*,65-17,West,82,240.6,45.6,88.4,0.516,2,5.5,0.367,43.6,82.9,0.526,24.5,31.1,0.789,13.7,30.7,44.4,29.6,8.9,5.9,16.6,22.6,117.8
11,Milwaukee Bucks*,50-32,East,82,241.2,42.2,88.8,0.475,2.3,7,0.323,39.9,81.8,0.488,23.8,31.1,0.766,13.6,28.3,42,24.9,10.3,4.8,15.4,26.6,110.4
13,New Jersey Nets,24-58,East,82,242.1,41.1,86.4,0.476,1.8,5.5,0.323,39.4,80.9,0.487,24.4,31.8,0.767,14.3,29.4,43.6,24.3,7.8,4.8,19.7,28.7,108.5
23,New York Knicks,24-58,East,82,241.2,40.6,85.6,0.474,1.5,4.6,0.333,39.1,81.1,0.482,21,28.8,0.73,13.5,26.4,39.9,23.7,8.6,4.8,17.3,24.7,103.8
17,Philadelphia 76ers*,45-37,East,82,242.4,40.7,82.8,0.491,1.1,4.1,0.259,39.6,78.7,0.503,24,31.9,0.753,14.4,28.4,42.7,23.7,9.4,6.6,18.5,21.6,106.5
