Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Atlanta Hawks,30-52,East,82,242.4,34.5,77.7,0.444,4.2,12.7,0.329,30.4,65,0.467,20.5,26.9,0.761,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24,93.7
22,Boston Celtics,24-58,East,82,242.1,34.9,78.7,0.443,5.7,15.6,0.367,29.1,63.1,0.462,20.4,26.6,0.767,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24,95.8
18,Charlotte Bobcats,33-49,East,82,244,36.1,81,0.446,5.6,15.6,0.357,30.5,65.4,0.467,19.1,26,0.734,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,96.9
13,Chicago Bulls*,49-33,East,82,241.2,37.1,81.3,0.457,5.9,15.1,0.388,31.3,66.2,0.473,18.6,25.4,0.734,12,31.7,43.7,22.3,7.8,5.4,16,23.3,98.8
19,Cleveland Cavaliers*,50-32,East,82,242.4,36.3,81.2,0.447,6,17.1,0.352,30.3,64.1,0.473,18.1,26,0.696,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,96.8
9,Dallas Mavericks*,67-15,West,82,240.9,36.7,78.6,0.467,6.5,17.1,0.381,30.2,61.4,0.491,20.1,24.9,0.805,11.2,30.7,41.9,19.9,6.8,5,13.9,22.4,100
3,Denver Nuggets*,45-37,West,82,241.2,38.6,83,0.465,5.9,17.6,0.336,32.7,65.4,0.5,22.3,29.9,0.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4
21,Detroit Pistons*,53-29,East,82,242.4,35.9,79.1,0.454,5.5,15.9,0.344,30.4,63.2,0.481,18.8,24.2,0.774,11.6,29,40.5,21.6,7.1,5.8,12.2,20.4,96
2,Golden State Warriors*,42-40,West,82,240.9,39.8,86,0.463,8.5,24,0.356,31.2,62,0.504,18.5,25.8,0.717,11.5,30,41.4,23.8,9.1,5.7,16,23.6,106.5
17,Houston Rockets*,52-30,West,82,242.1,35.4,79.6,0.445,8.6,23.1,0.372,26.8,56.5,0.475,17.5,23.2,0.753,10.7,32.6,43.3,20.8,7.1,4.1,14.2,20.9,97
24,Indiana Pacers,35-47,East,82,241.2,35,80,0.438,5.9,16.9,0.346,29.2,63.1,0.462,19.7,25.9,0.76,12.1,29.8,41.8,20.5,7.3,5.5,16.3,23.3,95.6
23,Los Angeles Clippers,40-42,West,82,240.6,35.1,77,0.456,3.8,11,0.348,31.3,66,0.474,21.6,27.4,0.788,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,95.6
5,Los Angeles Lakers*,42-40,West,82,244.3,37.8,81.3,0.466,7.4,21,0.353,30.4,60.2,0.505,20.2,27.1,0.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23,103.3
6,Memphis Grizzlies,22-60,West,82,243.7,36.6,78.6,0.465,6.1,16.6,0.367,30.5,62,0.491,22.4,29.4,0.761,10.6,29,39.5,20.5,6.9,5,16.4,22.3,101.6
28,Miami Heat*,44-38,East,82,242.1,35.6,76.7,0.464,6.4,18.8,0.343,29.2,57.9,0.503,17,24.6,0.69,10,30.8,40.8,20.5,6.9,5.4,14.6,21.3,94.6
10,Milwaukee Bucks,28-54,East,82,242.1,38.1,81.9,0.465,6.4,18,0.356,31.7,63.9,0.495,17.1,23.4,0.733,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7
20,Minnesota Timberwolves,32-50,West,82,244,36.5,79.3,0.461,4.7,13.3,0.353,31.9,66,0.483,18.3,23.1,0.792,10,30.2,40.2,22.5,6.5,4,15.6,21.4,96.1
15,New Jersey Nets*,41-41,East,82,242.4,35.5,77.8,0.457,7.4,20.4,0.363,28.1,57.4,0.49,19.1,26.3,0.727,10,30.8,40.8,23.9,6.1,3.3,14.8,22.8,97.6
25,New Orleans/Oklahoma City Hornets,39-43,West,82,242.4,36.2,81.4,0.445,5.5,15.3,0.362,30.7,66.1,0.464,17.5,23.7,0.74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,95.5
16,New York Knicks,33-49,East,82,244,35.4,77.5,0.457,5.8,16.7,0.346,29.6,60.8,0.487,20.9,29.2,0.715,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,97.5
27,Orlando Magic*,40-42,East,82,241.2,35.1,74.3,0.472,4.2,11.7,0.356,30.9,62.5,0.494,20.5,29.2,0.702,11.2,29.5,40.7,18.6,6.9,5.1,17,23.2,94.8
26,Philadelphia 76ers,35-47,East,82,242.4,35.8,78.1,0.458,3.5,10,0.345,32.3,68.1,0.474,20,26,0.767,11,28.7,39.7,20.4,7.2,4.8,15.3,20.4,94.9
1,Phoenix Suns*,61-21,West,82,242.7,41.3,83.6,0.494,9.6,24,0.399,31.7,59.6,0.532,18,22.3,0.808,9,31.5,40.5,25.9,6.7,4.8,14.5,20.2,110.2
29,Portland Trail Blazers,32-50,West,82,243.4,35,78,0.45,5.2,15,0.346,29.9,62.9,0.474,18.8,24.5,0.769,11.3,28,39.3,18.5,6.8,4.6,15.1,23.5,94.1
8,Sacramento Kings,33-49,West,82,241.5,35.9,79.7,0.45,6.5,18.5,0.35,29.4,61.2,0.48,23.1,30.2,0.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3
14,San Antonio Spurs*,58-24,West,82,241.2,36.6,77.2,0.474,7.3,19,0.381,29.3,58.1,0.504,18.1,24.1,0.751,9.3,31.4,40.7,22.1,7.2,5.1,13.9,19.4,98.5
12,Seattle SuperSonics,31-51,West,82,241.8,37.2,80.8,0.46,6.4,17.7,0.362,30.8,63.1,0.487,18.4,23.3,0.791,11.3,28.3,39.6,20.7,7.7,3.7,15.5,22,99.1
11,Toronto Raptors*,47-35,East,82,240.9,37,79.8,0.463,6.5,17.9,0.363,30.5,62,0.492,19,24.2,0.788,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,99.5
7,Utah Jazz*,51-31,West,82,241.5,37.4,78.9,0.474,4.3,12.9,0.335,33.1,66,0.501,22.3,30,0.743,12.6,30,42.5,24.7,7,4.1,15.6,25.2,101.5
4,Washington Wizards*,41-41,East,82,241.8,37.4,83.2,0.45,6.8,19.7,0.348,30.6,63.5,0.482,22.6,29.6,0.765,12.2,29,41.2,20.2,7.7,4.6,13.8,22.2,104.3
