Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,Atlanta Hawks,13-69,East,82,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.463,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7
5,Boston Celtics*,45-37,East,82,242.4,37.1,79.4,0.468,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3
22,Charlotte Bobcats,18-64,East,82,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3
21,Chicago Bulls*,47-35,East,82,241.8,34.7,80.4,0.432,6.2,17.5,0.357,28.5,62.9,0.453,18.7,25,0.75,12.2,31.6,43.8,21.3,7,4.5,16.7,24.7,94.5
17,Cleveland Cavaliers,42-40,East,82,242.1,36.5,81.5,0.447,3.7,11,0.332,32.8,70.5,0.465,19.9,26.5,0.752,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,96.5
3,Dallas Mavericks*,58-24,West,82,240.6,37.3,81.6,0.457,5.6,15.5,0.364,31.6,66.1,0.479,22.3,28.2,0.789,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,102.5
8,Denver Nuggets*,49-33,West,82,240.9,37,80.7,0.459,3.9,11.5,0.34,33.1,69.2,0.479,21.5,28.2,0.763,11.8,30.2,42,23.9,9.1,6,14.9,22.9,99.5
24,Detroit Pistons*,54-28,East,82,243.4,34.8,78.3,0.444,4.4,12.8,0.345,30.3,65.5,0.463,19.4,26.2,0.739,12.9,30.6,43.4,21.8,7,6.1,13.8,20,93.3
13,Golden State Warriors,34-48,West,82,242.7,36.9,85.8,0.43,7.6,21.6,0.352,29.3,64.2,0.457,17.2,23.8,0.722,13,29.7,42.7,22.1,7.8,5.1,13.6,22.4,98.7
20,Houston Rockets*,51-31,West,82,242.1,34.7,78.3,0.443,6.7,18.5,0.364,28,59.7,0.468,18.9,24.2,0.781,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22,95.1
25,Indiana Pacers*,44-38,East,82,242.7,32.5,75.2,0.432,6.6,19.2,0.344,25.9,56,0.463,21.3,26.9,0.792,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23,93
19,Los Angeles Clippers,37-45,West,82,244.3,35.7,77.7,0.459,2.8,8.2,0.345,32.8,69.5,0.473,21.6,27.7,0.778,12,29.9,41.9,23.2,7.3,5.1,15.7,22.2,95.7
12,Los Angeles Lakers,34-48,West,82,241.2,35.3,80.8,0.437,7.9,22.1,0.355,27.5,58.7,0.467,20.3,26.1,0.777,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,98.7
23,Memphis Grizzlies*,45-37,West,82,240.3,34.2,76.5,0.447,6.5,18.1,0.357,27.7,58.4,0.475,18.6,24.7,0.754,10.8,28.1,39,20.9,8.5,5.8,14.6,23.3,93.4
4,Miami Heat*,59-23,East,82,243.7,37.8,77.7,0.486,5.8,15.4,0.377,32,62.3,0.513,20.2,30.1,0.672,10.8,32.2,43,21.8,6.4,5.8,13.7,22.1,101.5
15,Milwaukee Bucks,30-52,East,82,241.2,36.1,80.2,0.45,4,11.3,0.351,32.2,69,0.467,21,27.2,0.772,12,29.3,41.3,21,6.5,3.5,13.8,21.9,97.2
16,Minnesota Timberwolves,44-38,West,82,240.9,37.1,80.8,0.459,4.8,14,0.345,32.3,66.9,0.483,17.7,22.2,0.796,11.5,31.5,43,23.4,5.6,5.5,13.2,21.6,96.8
29,New Jersey Nets*,42-40,East,82,242.7,33.6,78.3,0.429,5.3,14.7,0.362,28.3,63.6,0.444,19,24.9,0.763,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4
30,New Orleans Hornets,18-64,West,82,243,33.1,80,0.415,5.1,16,0.315,28.1,63.9,0.44,17.1,22.3,0.766,12.4,27.8,40.2,21,6.7,3.8,14.8,23,88.4
14,New York Knicks,33-49,East,82,242.4,36.3,80.5,0.451,5.4,15.1,0.356,30.9,65.4,0.473,19.3,25.1,0.767,11.8,29.2,41,20.3,7.7,3.2,14.7,23.7,97.3
9,Orlando Magic,36-46,East,82,240.3,37,81.5,0.454,3.9,11.2,0.349,33.1,70.3,0.471,21.6,28.5,0.759,12.7,31,43.7,19.3,7.7,5.4,16.1,23.6,99.5
10,Philadelphia 76ers*,43-39,East,82,242.1,35.9,82.1,0.437,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,42,20.9,9.2,3.9,15.5,22.9,99.1
1,Phoenix Suns*,62-20,West,82,241.2,40.9,85.6,0.477,9.7,24.7,0.393,31.2,60.9,0.512,19,25.4,0.748,11.8,32.3,44.1,23.5,7,5.5,13.7,19.1,110.4
27,Portland Trail Blazers,27-55,West,82,240.6,35.3,78.3,0.451,5.1,14.2,0.362,30.2,64.2,0.471,17.2,23.7,0.725,11.8,29.3,41.1,21,7.1,6.6,16,20.8,92.9
2,Sacramento Kings*,50-32,West,82,242.1,39.1,85.1,0.459,6.4,17,0.374,32.7,68.1,0.48,19.2,24.4,0.787,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,103.7
18,San Antonio Spurs*,59-23,West,82,241.5,35.6,78.7,0.453,6.2,17,0.363,29.5,61.6,0.478,18.7,25.9,0.724,12,30.4,42.4,21.6,7.5,6.6,13.7,20.9,96.2
11,Seattle SuperSonics*,52-30,West,82,240.9,35.1,79.2,0.444,8.1,22.2,0.365,27,57,0.474,20.5,26,0.79,12.7,28.2,40.9,18.1,6.7,4.1,13.6,23.7,98.9
7,Toronto Raptors,33-49,East,82,241.5,36,81.2,0.444,7.9,20.5,0.385,28.1,60.7,0.463,19.8,25.6,0.774,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,99.7
26,Utah Jazz,26-56,West,82,241.2,34.5,76.8,0.449,3,9.3,0.328,31.4,67.5,0.465,21,27.7,0.757,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,93
6,Washington Wizards*,45-37,East,82,241.2,36.2,82.9,0.437,6.3,18.3,0.343,29.9,64.6,0.463,21.9,30.2,0.725,13.8,29,42.8,19.1,8.7,4.2,14.3,22,100.5
