Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16,Atlanta Hawks,26-56,West,82,243.4,41.8,87.4,0.479,10.2,25.6,0.399,31.6,61.8,0.511,14.5,18,0.806,9.5,32.3,41.8,26.6,6.7,5,13.3,20.5,108.4
12,Boston Celtics,33-49,West,82,241.8,37.5,81.8,0.459,7.4,19.9,0.371,30.1,62,0.487,20.1,25.7,0.785,12.4,27.2,39.6,20.7,7.6,3.7,14.7,23.6,102.6
18,Charlotte Bobcats,26-56,East,82,241.8,36.3,81.2,0.447,6.1,17,0.357,30.2,64.2,0.471,23,30.4,0.757,12.6,28.6,41.2,18.6,8,4.1,13.9,22.6,101.7
14,Chicago Bulls*,41-41,East,82,243.4,36.7,81,0.454,7.4,19.8,0.375,29.3,61.2,0.479,20.2,25.5,0.791,10.5,27.9,38.5,19.4,6.5,3.3,13.1,24,101.1
15,Cleveland Cavaliers*,50-32,West,82,243,37.5,81.4,0.461,4.3,13.1,0.325,33.3,68.2,0.487,21,28.2,0.744,11,30.3,41.3,23.4,8.5,5.6,14.8,22.7,100.3
9,Dallas Mavericks*,60-22,East,82,240.9,37.1,77.5,0.478,6.1,17.6,0.345,31,59.9,0.517,19.7,28.2,0.7,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9
5,Denver Nuggets*,44-38,West,82,242.1,36.5,80.6,0.453,6.7,19.3,0.349,29.8,61.3,0.486,19.7,26.5,0.745,11.8,30.3,42.2,21.1,7.7,4.3,13.9,23.1,99.4
19,Detroit Pistons*,64-18,East,82,242.7,36.6,79.8,0.458,4.6,12.6,0.364,32,67.3,0.476,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,99.4
11,Golden State Warriors,34-48,West,82,242.4,36,77.7,0.462,5.1,13.6,0.374,30.9,64.2,0.481,22.2,28.3,0.783,12.6,29.6,42.2,18,7.2,6,13.6,22.4,99.1
29,Houston Rockets,34-48,West,82,241.8,36,79.3,0.454,6,17.2,0.351,30,62.1,0.483,20.8,26.5,0.784,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,98.9
