Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Atlanta Hawks,34-48,West,82,241.8,47.3,97.3,0.486,0.9,2.9,0.311,46.4,94.4,0.491,24.6,31.3,0.785,16.2,28.1,44.3,27.6,10.9,5.2,16.9,26.2,120
7,Boston Celtics*,63-19,West,82,240.9,48.2,88.5,0.545,1.1,3.6,0.305,47.1,84.9,0.555,20.8,27.2,0.763,13,31.1,44.1,31.4,8.5,5.9,18.7,23.5,118.2
15,Chicago Bulls*,38-44,East,82,241.8,46.8,97.5,0.48,0.5,2.4,0.226,46.3,95.1,0.487,21.7,27.6,0.788,17.1,30.9,48,28.1,8.4,4.8,16.4,25.3,116
16,Cleveland Cavaliers*,36-46,West,82,242.4,45.2,89.9,0.503,0.6,2.5,0.252,44.6,87.5,0.51,24.4,32.5,0.751,14.7,28,42.7,27.1,10,6.3,18.1,23.9,115.5
10,Dallas Mavericks*,44-38,West,82,240.9,44.7,88.7,0.504,0.8,2.9,0.265,43.9,85.8,0.512,24.7,31.6,0.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8
1,Denver Nuggets*,52-30,West,82,241.2,45.1,87.8,0.513,0.7,2.5,0.272,44.4,85.4,0.52,23.9,31.4,0.763,13.7,30.1,43.9,28.2,9.2,5.4,18.8,26.6,114.8
3,Detroit Pistons*,46-36,East,82,240.3,45.4,89.3,0.508,1.3,3.8,0.356,44,85.6,0.515,22.7,28.1,0.806,13.6,32.1,45.7,27.9,7.9,5,16.2,21.7,114.8
12,Golden State Warriors,22-60,East,82,241.5,42,85.3,0.492,0.7,2.7,0.263,41.3,82.5,0.5,28.2,35.2,0.803,15.9,28.8,44.7,24.4,10,6.5,19.2,24,112.9
9,Houston Rockets*,48-34,West,82,241.8,45.7,90.7,0.504,0.5,2.3,0.22,45.2,88.5,0.511,19.3,27.6,0.699,16.2,29.2,45.4,27.3,8.3,7.3,19.6,24.8,111.2
17,Indiana Pacers,22-60,West,82,242.1,43.4,88.8,0.489,1.9,5.4,0.343,41.6,83.4,0.498,22.5,28.3,0.793,13.4,28.6,42,26.2,7,4.1,14.4,21.9,111.2
5,Kansas City Kings,31-51,East,82,241.5,43.5,88.5,0.491,1.1,3.6,0.303,42.4,84.9,0.499,22.8,30.2,0.757,15.3,28.7,44,26.4,8.4,5.9,16.9,27.3,110.9
19,Los Angeles Clippers,31-51,East,82,240.9,44.5,90.8,0.49,0.6,2.7,0.232,43.8,88.1,0.498,19.9,27.3,0.729,15,28.4,43.4,26.4,9.4,5.1,16.5,24.5,109.5
2,Los Angeles Lakers*,62-20,West,82,240.9,42.4,89,0.476,1.3,3.7,0.336,41.2,85.3,0.482,22.9,29.7,0.772,13.2,31.1,44.3,26.1,8.7,8.5,19.2,23.9,109
11,Milwaukee Bucks*,59-23,East,82,241.5,42.1,84.3,0.5,0.4,2,0.18,41.8,82.3,0.507,24.2,30.8,0.784,13.1,28.9,42,24.3,7.6,5.7,17.8,25.3,108.7
13,New Jersey Nets*,42-40,East,82,241.2,42.3,89.8,0.471,1.2,4.1,0.287,41.1,85.7,0.48,22.8,30.4,0.749,14.7,29.8,44.5,25.6,7.6,5.8,16.9,26.5,108.6
22,New York Knicks,24-58,East,82,241.2,42.5,89.3,0.476,0.4,1.9,0.194,42.2,87.4,0.482,22.8,30.7,0.744,14.6,32,46.6,23.7,7.6,4.5,19.8,27.3,108.3
8,Philadelphia 76ers*,58-24,West,82,241.5,42.8,87.1,0.491,1.1,3.7,0.283,41.7,83.4,0.5,21.4,27.8,0.771,12.5,29.6,42.1,28.5,8.9,4.3,19.3,24.8,108
