Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,Atlanta Hawks,31-51,East,82,243,40.1,83.7,0.479,0.1,1,0.122,40,82.7,0.484,24.5,31.6,0.777,14.6,27.1,41.8,22.5,9.1,5.7,19.6,27.8,104.9
8,Boston Celtics*,62-20,East,82,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9
10,Chicago Bulls*,45-37,East,82,241.2,42.2,84.2,0.501,0.5,2.2,0.212,41.7,82,0.508,24.2,31.3,0.774,15,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109
17,Cleveland Cavaliers,28-54,East,82,241.2,43.4,92.8,0.467,0.9,3,0.289,42.5,89.8,0.473,18.1,23.3,0.778,15.3,27.4,42.7,24.5,7.7,3.9,17,24.3,105.7
21,Dallas Mavericks,15-67,West,82,241.2,39.1,84.5,0.462,0.6,2,0.279,38.5,82.5,0.467,22.8,30.3,0.751,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5
1,Denver Nuggets,37-45,West,82,243.4,46.1,97.1,0.475,0.4,1.8,0.207,45.8,95.3,0.48,29.1,37.2,0.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8
23,Detroit Pistons,21-61,East,82,240.9,39.5,85.2,0.463,0.2,1,0.155,39.3,84.2,0.467,20.6,28.4,0.725,14.6,25.7,40.4,22.2,10.8,6,21.5,25.9,99.7
9,Golden State Warriors,39-43,West,82,240.6,43.4,88.8,0.489,0.7,2.6,0.286,42.7,86.3,0.495,22.3,30.6,0.727,17.1,28.9,46,24.7,7.5,3.7,18.9,26.3,109.8
11,Houston Rockets*,40-42,West,82,241.5,43.6,89.5,0.487,0.3,1.4,0.178,43.3,88,0.492,20.9,27.1,0.77,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3
13,Indiana Pacers*,44-38,East,82,240.6,42.6,88.4,0.482,0.4,2.1,0.178,42.2,86.3,0.489,22.1,31,0.715,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6
14,Kansas City Kings*,40-42,West,82,241.8,43.6,87.2,0.5,0.6,2,0.292,43,85.2,0.505,19.2,26.9,0.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9
5,Los Angeles Lakers*,54-28,West,82,241.5,46.1,90,0.512,0.2,1.1,0.181,45.9,88.9,0.516,18.8,25.8,0.729,14.2,30.4,44.6,28.8,9.9,6.7,19,23.8,111.2
2,Milwaukee Bucks*,60-22,East,82,240.9,45.4,91.1,0.498,0.4,1.6,0.229,45,89.5,0.503,22,28.5,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1
15,New Jersey Nets,24-58,East,82,241.5,42.4,89.2,0.475,0.4,1.7,0.246,42,87.5,0.48,21.7,28.9,0.751,13.3,29,42.3,25.2,9.1,5.6,20.3,26.9,106.9
12,New York Knicks*,50-32,East,82,241.8,42.7,88.5,0.483,0.7,2.9,0.237,42.1,85.6,0.491,21.7,29.1,0.747,13.9,26.9,40.8,24.1,10.5,3.8,17.8,23.4,107.9
4,Philadelphia 76ers*,62-20,East,82,242.1,44.3,86.3,0.514,0.2,1,0.226,44.1,85.2,0.518,22.7,29.6,0.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7
7,Phoenix Suns*,57-25,West,82,240.9,43.7,89.3,0.49,0.4,2,0.217,43.3,87.4,0.496,22.1,29.6,0.745,15,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110
6,Portland Trail Blazers*,45-37,West,82,242.1,45.6,91.9,0.496,0.3,1.8,0.169,45.3,90.1,0.503,19.2,26.7,0.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7
3,San Antonio Spurs*,52-30,West,82,241.5,43.5,88.7,0.491,0.2,1,0.176,43.4,87.7,0.495,25,32.5,0.769,15.9,31.5,47.4,25,8.4,7.8,18.7,25.8,112.3
16,San Diego Clippers,36-46,West,82,240.6,42.4,88.8,0.477,1.6,5,0.324,40.8,83.9,0.486,20.1,27.4,0.735,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5
20,Seattle SuperSonics,34-48,West,82,241.2,40.8,87.1,0.468,0.4,1.4,0.274,40.4,85.7,0.471,22.1,29,0.763,14.2,29.7,43.9,23.7,7.7,5.3,18.6,24.2,104
22,Utah Jazz,28-54,West,82,240.6,40.6,83.2,0.488,0.5,2,0.258,40.1,81.2,0.494,19.5,25.4,0.767,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2
18,Washington Bullets,39-43,East,82,241.2,43.3,91.7,0.472,0.8,2.9,0.27,42.5,88.7,0.479,18.3,25.3,0.723,14.1,30.9,45,26.2,7.8,4.8,17.3,23.1,105.6
17,a,28-54,East,82,241.2,43.4,92.8,0.467,0.9,3,0.289,42.5,89.8,0.473,18.1,23.3,0.778,15.3,27.4,42.7,24.5,7.7,3.9,17,24.3,105.7
23,b,21-61,East,82,240.9,39.5,85.2,0.463,0.2,1,0.155,39.3,84.2,0.467,20.6,28.4,0.725,14.6,25.7,40.4,22.2,10.8,6,21.5,25.9,99.7
13,c,44-38,East,82,240.6,42.6,88.4,0.482,0.4,2.1,0.178,42.2,86.3,0.489,22.1,31,0.715,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6
2,d,60-22,East,82,240.9,45.4,91.1,0.498,0.4,1.6,0.229,45,89.5,0.503,22,28.5,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1
4,e,62-20,East,82,242.1,44.3,86.3,0.514,0.2,1,0.226,44.1,85.2,0.518,22.7,29.6,0.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7
6,f,45-37,West,82,242.1,45.6,91.9,0.496,0.3,1.8,0.169,45.3,90.1,0.503,19.2,26.7,0.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7
8,g,62-20,East,82,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9
