Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,Atlanta Hawks*,43-39,East,82,241.2,40.9,87.1,0.469,0.5,2.3,0.239,40.3,84.9,0.475,19.3,25.7,0.751,13.9,29.7,43.6,23.7,7,8.1,17.4,24.7,101.6
7,Boston Celtics*,56-26,East,82,241.8,45.3,92,0.492,0.5,2.3,0.21,44.8,89.8,0.499,21.1,28.6,0.737,15.5,30.9,46.4,27,9.6,6.4,18.8,25.1,112.1
9,Chicago Bulls,28-54,East,82,242.7,43.1,89.9,0.48,0.5,2.5,0.215,42.6,87.4,0.487,24.2,32.8,0.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111
23,Cleveland Cavaliers,23-59,East,82,240.9,39.7,85.3,0.465,0.4,1.5,0.25,39.3,83.8,0.469,17.4,24.2,0.721,14.3,29.4,43.7,21.2,7.5,3.5,18.8,27.3,97.1
5,Dallas Mavericks,38-44,West,82,240.6,44.8,92.1,0.487,0.5,2.3,0.232,44.3,89.8,0.493,22.6,30,0.752,15.8,29,44.8,27.2,6.7,4.2,16.4,25.2,112.7
1,Denver Nuggets*,45-37,West,82,240.6,48.2,97.5,0.494,0.3,1.5,0.19,47.9,96,0.499,26.6,32.9,0.808,14.8,30.8,45.6,28.5,9.6,4.3,18.2,25.5,123.2
6,Detroit Pistons,37-45,East,82,242.4,44.2,92.7,0.477,0.9,3.3,0.265,43.3,89.4,0.484,23.4,31.6,0.742,16,30.2,46.2,25.7,8.3,7,19,25.9,112.7
13,Golden State Warriors,30-52,West,82,241.2,44.2,91.6,0.483,0.4,1.8,0.227,43.8,89.7,0.488,19.8,26.8,0.737,15.6,27.9,43.5,24,10.4,5.2,19.6,26.1,108.6
21,Houston Rockets,14-68,West,82,240.6,40.7,90.8,0.448,0.8,3.3,0.247,39.9,87.5,0.456,17.1,23.6,0.725,14.7,27.6,42.3,23.5,7.9,5.1,19.2,26,99.3
12,Indiana Pacers,20-62,East,82,241.8,45.2,94.2,0.48,0.6,2.9,0.212,44.6,91.3,0.488,17.6,23.3,0.758,15.8,28,43.8,26.2,9.2,5,18.7,25.4,108.7
