Rk,Team,Overall,Conf,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,Atlanta Hawks,33-49,East,82,241.2,35.4,80.6,0.439,5.2,14.6,0.354,30.2,66,0.458,18.1,23.7,0.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,94
12,Boston Celtics*,49-33,East,82,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21,9.7,3.6,13.6,21.7,96.4
20,Charlotte Hornets*,44-38,East,82,240.9,35.3,80.2,0.44,4.2,12.1,0.348,31.1,68.1,0.456,19.1,25.7,0.745,12.9,30.5,43.5,21.5,8,5.6,14,21.3,93.9
28,Chicago Bulls,21-61,East,82,241.5,34.3,79.2,0.433,3.7,10.6,0.346,30.6,68.6,0.447,17.2,23.9,0.722,11.3,28.8,40,22.2,7.7,4.4,15.3,22.4,89.5
16,Cleveland Cavaliers,29-53,East,82,242.1,36,80.3,0.448,4.7,12.5,0.377,31.2,67.8,0.461,18.6,24.1,0.772,11.8,30.3,42.1,23.1,7,5.7,14.6,21.4,95.3
1,Dallas Mavericks*,57-25,West,82,242.4,39,84.5,0.462,7.6,20.1,0.378,31.5,64.5,0.488,19.6,24.3,0.806,11.2,31.3,42.5,22.1,7.1,4.8,12.1,22.5,105.2
23,Denver Nuggets,27-55,West,82,241.5,35.5,83.8,0.424,5.2,15.7,0.329,30.4,68.1,0.446,15.9,21.4,0.744,13.6,28.2,41.8,22.2,7.5,5.6,14.7,22.8,92.2
18,Detroit Pistons*,50-32,East,82,240,34.7,76.8,0.452,6.9,18.4,0.376,27.8,58.4,0.475,18,23.8,0.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3
7,Golden State Warriors,21-61,West,82,241.2,36.6,85.2,0.429,3.9,12.1,0.322,32.7,73.1,0.447,20.6,28.6,0.722,16.3,30.4,46.7,20.8,7.9,6.4,16.8,23,97.7
22,Houston Rockets,28-54,West,82,243.7,34.6,80.8,0.428,6,18,0.335,28.5,62.8,0.455,17.1,23.1,0.741,12.5,29.4,41.9,18.1,6.5,5.4,14.1,18,92.3
9,Indiana Pacers*,42-40,East,82,242.7,35.8,80.2,0.446,4.9,14.6,0.339,30.9,65.7,0.47,20.3,26.3,0.772,11.3,31.3,42.7,23,8,5.3,15.2,22.9,96.8
15,Los Angeles Clippers,39-43,West,82,241.5,36.2,81.3,0.445,5,14,0.356,31.2,67.3,0.464,18.3,24.7,0.739,13.2,30.2,43.4,20.9,6.2,6.6,14.8,19.8,95.7
3,Los Angeles Lakers*,58-24,West,82,241.2,38.4,83.4,0.461,6.2,17.5,0.354,32.2,65.9,0.489,18.2,26.1,0.699,12.5,31.8,44.3,23,7.6,5.8,12.7,22.2,101.3
27,Memphis Grizzlies,23-59,West,82,241.2,34.8,79.7,0.436,4.1,13.4,0.307,30.7,66.3,0.462,16.3,23,0.708,12,29.4,41.4,21.8,7.9,6,16.4,19.2,89.9
29,Miami Heat,36-46,East,82,243,34.2,77.8,0.439,3.8,11,0.347,30.4,66.9,0.454,15.1,20.8,0.724,11,31,42,20.3,6.7,5.5,14.8,22.5,87.2
8,Milwaukee Bucks,41-41,East,82,242.7,37.1,80.2,0.462,7.2,19.3,0.375,29.9,60.9,0.49,16.1,21.5,0.748,10.3,31.2,41.4,22.5,7.3,4.7,14.1,21.8,97.5
5,Minnesota Timberwolves*,50-32,West,82,241.5,38.7,84,0.461,4.8,12.8,0.378,33.9,71.2,0.476,17.1,21.4,0.798,12.9,31.2,44.2,24.3,6.4,5.2,13.4,21.2,99.3
13,New Jersey Nets*,52-30,East,82,241.8,37.1,83.1,0.446,4.9,14.6,0.338,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6,14.5,21.1,96.2
24,New York Knicks,30-52,East,82,241.5,34.4,79.5,0.432,5.8,16.4,0.353,28.6,63.1,0.453,17.1,21.8,0.787,10.7,30,40.7,21,6.8,3.5,14.5,22,91.6
4,Orlando Magic*,44-38,East,82,241.8,37.6,84.1,0.448,7.6,20.2,0.373,30.1,63.8,0.471,17.6,23.4,0.754,11.5,29.8,41.2,22,8.1,4.7,13.6,20.7,100.5
26,Philadelphia 76ers*,43-39,East,82,240.6,34.2,78.5,0.436,2.6,8.7,0.299,31.6,69.8,0.453,20,25.7,0.779,13.3,30.9,44.2,20,8.6,4.4,15.3,20.1,91
17,Phoenix Suns,36-46,West,82,241.8,37.8,84.6,0.447,4.4,13.4,0.327,33.4,71.2,0.469,15.2,19.9,0.767,13.1,29.6,42.7,22.4,8.1,4.9,14.7,21.8,95.1
11,Portland Trail Blazers*,49-33,West,82,241.8,36.6,81.4,0.45,5.7,16.1,0.354,31,65.3,0.474,17.7,23.2,0.763,13.2,29.8,43,23.5,8.6,4.5,14.3,19.7,96.6
2,Sacramento Kings*,61-21,West,82,240.9,39.8,85.4,0.467,5.2,14.1,0.367,34.6,71.3,0.486,19.7,26.3,0.751,12.4,33,45.3,23.9,9,4.6,13.8,19,104.6
10,San Antonio Spurs*,58-24,West,82,242.1,35.5,77.6,0.458,5.3,14.8,0.362,30.2,62.8,0.48,20.3,27.4,0.742,11.1,31.3,42.4,20,7.6,6.5,14.4,19.2,96.7
6,Seattle SuperSonics*,45-37,West,82,241.8,38.2,81.5,0.469,6,15.8,0.378,32.2,65.7,0.49,15.4,20.4,0.755,11.8,28.5,40.3,23.5,8.5,4.4,13.7,21.1,97.7
25,Toronto Raptors*,42-40,East,82,240.9,35.6,82,0.434,4.7,13.5,0.349,30.9,68.5,0.451,15.5,20.9,0.739,13.6,28.5,42.1,21.7,8.4,5.5,14.3,21.6,91.4
14,Utah Jazz*,44-38,West,82,241.8,35,77.7,0.45,3.4,10.3,0.333,31.6,67.5,0.468,22.6,29.6,0.763,13.5,28.6,42.2,24.4,9.1,6.4,16.5,24,96
21,Washington Wizards,37-45,East,82,240.6,35.8,81.3,0.441,3.7,9.6,0.388,32.1,71.7,0.448,17.4,22.8,0.765,12.9,29.2,42,20.9,7,4.3,13,21.5,92.8
26,a,43-39,East,82,240.6,34.2,78.5,0.436,2.6,8.7,0.299,31.6,69.8,0.453,20,25.7,0.779,13.3,30.9,44.2,20,8.6,4.4,15.3,20.1,91
